Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
242;51,3529660692564;16,7971068419152;24,2;158
243;51,3525415674858;16,7958373485461;24,3;150
244;51,3521170519959;16,7945678787016;24,4;137
245;51,351692522787;16,7932984323817;24,5;142
246;51,3512679798597;16,7920290095863;24,6;155
247;51,3508434232144;16,7907596103154;24,7;153
248;51,3504188528516;16,789490234569;24,8;144
249;51,3499942687718;16,788220882347;24,9;153
250;51,3495696709753;16,7869515536494;25;170
251;51,3491450594627;16,7856822484762;25,1;162
252;51,3487204342345;16,7844129668273;25,2;173
253;51,348295795291;16,7831437087028;25,3;165
254;51,3478711426328;16,7818744741024;25,4;167
255;51,3474464762603;16,7806052630264;25,5;173
256;51,347021796174;16,7793360754745;25,6;187
257;51,3465971023743;16,7780669114467;25,7;183
258;51,3461723948618;16,7767977709431;25,8;174
259;51,3457476736368;16,7755286539636;25,9;175
260;51,3453229386998;16,7742595605082;26;166
261;51,3448981900514;16,7729904905768;26,1;172
262;51,3444734276919;16,7717214441694;26,2;166
263;51,3440486516218;16,7704524212859;26,3;166
264;51,3436238618416;16,7691834219264;26,4;165
265;51,3431990583517;16,7679144460907;26,5;167
266;51,3427742411527;16,766645493779;26,6;169
267;51,3423494102449;16,765376564991;26,7;143
268;51,3419245656288;16,7641076597268;26,8;152
269;51,341499707305;16,7628387779864;26,9;155
270;51,3410748352737;16,7615699197697;27;147
271;51,3406499495357;16,7603010850767;27,1;147
272;51,3402250500912;16,7590322739073;27,2;140
273;51,3398001369407;16,7577634862615;27,3;146
274;51,3393752100848;16,7564947221393;27,4;143
275;51,3389502695238;16,7552259815407;27,5;150
276;51,3385253152582;16,7539572644656;27,6;154
277;51,3381003472886;16,7526885709139;27,7;154
278;51,3376753656153;16,7514199008857;27,8;164
279;51,3372503702388;16,7501512543809;27,9;170
280;51,3368253611596;16,7488826313994;28;165
281;51,3364003383781;16,7476140319413;28,1;168
282;51,3359753018949;16,7463454560065;28,2;154
283;51,3355502517103;16,7450769035949;28,3;155
284;51,3351251878249;16,7438083747066;28,4;152
285;51,334700110239;16,7425398693414;28,5;165
286;51,3342750189532;16,7412713874994;28,6;148
287;51,3338499139679;16,7400029291805;28,7;151
288;51,3334247952836;16,7387344943847;28,8;153
289;51,3329996629008;16,737466083112;28,9;157
290;51,3325745168198;16,7361976953622;29;166
291;51,3321493570412;16,7349293311354;29,1;168
292;51,3317241835655;16,7336609904316;29,2;166
293;51,331298996393;16,7323926732507;29,3;152
294;51,3308737955243;16,7311243795926;29,4;151
295;51,3304485809598;16,7298561094573;29,5;142
296;51,3300233527;16,7285878628449;29,6;161
297;51,3295981107454;16,7273196397552;29,7;159
298;51,3291728550963;16,7260514401882;29,8;156
299;51,3287475857533;16,7247832641439;29,9;144
300;51,3283223027168;16,7235151116222;30;131
301;51,3278970059874;16,7222469826232;30,1;137
302;51,3274716955653;16,7209788771467;30,2;144
303;51,3270463714512;16,7197107951927;30,3;144
304;51,3266210336455;16,7184427367613;30,4;138
305;51,3261956821486;16,7171747018523;30,5;150
306;51,325770316961;16,7159066904657;30,6;144
307;51,3253449380832;16,7146387026015;30,7;136
